2036,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2036,afghanistan
2036,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2036,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2036,afghanistan,Mar 20,Monday,March equinox,Season
2036,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2036,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2036,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2036,afghanistan,Jun 21,Wednesday,June Solstice,Season
2036,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2036,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2036,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2036,afghanistan,Sep 22,Friday,September equinox,Season
2036,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2036,afghanistan,Nov 9,Thursday,Arba'een,Observance
2036,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2036,afghanistan,Dec 21,Thursday,December Solstice,Season
2037,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2037,afghanistan
2037,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2037,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2037,afghanistan,Mar 20,Monday,March equinox,Season
2037,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2037,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2037,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2037,afghanistan,Jun 21,Wednesday,June Solstice,Season
2037,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2037,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2037,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2037,afghanistan,Sep 22,Friday,September equinox,Season
2037,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2037,afghanistan,Nov 9,Thursday,Arba'een,Observance
2037,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2037,afghanistan,Dec 21,Thursday,December Solstice,Season
2038,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2038,afghanistan
2038,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2038,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2038,afghanistan,Mar 20,Monday,March equinox,Season
2038,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2038,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2038,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2038,afghanistan,Jun 21,Wednesday,June Solstice,Season
2038,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2038,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2038,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2038,afghanistan,Sep 22,Friday,September equinox,Season
2038,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2038,afghanistan,Nov 9,Thursday,Arba'een,Observance
2038,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2038,afghanistan,Dec 21,Thursday,December Solstice,Season
2039,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2039,afghanistan
2039,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2039,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2039,afghanistan,Mar 20,Monday,March equinox,Season
2039,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2039,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2039,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2039,afghanistan,Jun 21,Wednesday,June Solstice,Season
2039,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2039,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2039,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2039,afghanistan,Sep 22,Friday,September equinox,Season
2039,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2039,afghanistan,Nov 9,Thursday,Arba'een,Observance
2039,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2039,afghanistan,Dec 21,Thursday,December Solstice,Season
2040,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2040,afghanistan
2040,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2040,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2040,afghanistan,Mar 20,Monday,March equinox,Season
2040,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2040,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2040,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2040,afghanistan,Jun 21,Wednesday,June Solstice,Season
2040,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2040,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2040,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2040,afghanistan,Sep 22,Friday,September equinox,Season
2040,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2040,afghanistan,Nov 9,Thursday,Arba'een,Observance
2040,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2040,afghanistan,Dec 21,Thursday,December Solstice,Season
2041,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2041,afghanistan
2041,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2041,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2041,afghanistan,Mar 20,Monday,March equinox,Season
2041,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2041,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2041,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2041,afghanistan,Jun 21,Wednesday,June Solstice,Season
2041,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2041,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2041,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2041,afghanistan,Sep 22,Friday,September equinox,Season
2041,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2041,afghanistan,Nov 9,Thursday,Arba'een,Observance
2041,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2041,afghanistan,Dec 21,Thursday,December Solstice,Season
2042,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2042,afghanistan
2042,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2042,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2042,afghanistan,Mar 20,Monday,March equinox,Season
2042,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2042,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2042,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2042,afghanistan,Jun 21,Wednesday,June Solstice,Season
2042,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2042,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2042,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2042,afghanistan,Sep 22,Friday,September equinox,Season
2042,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2042,afghanistan,Nov 9,Thursday,Arba'een,Observance
2042,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2042,afghanistan,Dec 21,Thursday,December Solstice,Season
2043,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2043,afghanistan
2043,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2043,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2043,afghanistan,Mar 20,Monday,March equinox,Season
2043,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2043,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2043,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2043,afghanistan,Jun 21,Wednesday,June Solstice,Season
2043,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2043,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2043,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2043,afghanistan,Sep 22,Friday,September equinox,Season
2043,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2043,afghanistan,Nov 9,Thursday,Arba'een,Observance
2043,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
2043,afghanistan,Dec 21,Thursday,December Solstice,Season
2044,afghanistan,Date,Weekday,Holiday Name,Holiday Type
2044,afghanistan
2044,afghanistan,Feb 5,Sunday,Non-working Day,Observance
2044,afghanistan,Feb 14,Tuesday,Soviet Withdrawal from Afghanistan,Public Holiday
2044,afghanistan,Mar 20,Monday,March equinox,Season
2044,afghanistan,Apr 28,Friday,Afghan Victory Day,Public Holiday
2044,afghanistan,Apr 29,Saturday,Afghan Victory Day observed,Public Holiday
2044,afghanistan,May 27,Saturday,Ramadan starts,Public Holiday
2044,afghanistan,Jun 21,Wednesday,June Solstice,Season
2044,afghanistan,Jun 26,Monday,Eid al-Fitr,Public Holiday
2044,afghanistan,Aug 19,Saturday,Independence Day (National Day),Public Holiday
2044,afghanistan,Sep 2,Saturday,Eid al-Qurban,Public Holiday
2044,afghanistan,Sep 22,Friday,September equinox,Season
2044,afghanistan,Oct 1,Sunday,Ashura,Public Holiday
2044,afghanistan,Nov 9,Thursday,Arba'een,Observance
2044,afghanistan,Dec 1,Friday,The Prophet's Birthday,Public Holiday
